per_idx,cat_idx,dt_idx,et_idx,geo_idx,is_adj,val,per_name,cat_name
19,6,1,0,1,1,40290.0,1993-07-01,car_dealers
19,8,1,0,1,1,4640.0,1993-07-01,furniture
19,9,1,0,1,1,4642.0,1993-07-01,electronics_appliances
19,10,1,0,1,1,11781.0,1993-07-01,building_garden_supplies
19,11,1,0,1,1,31349.0,1993-07-01,food_bev_stores
19,12,1,0,1,1,28554.0,1993-07-01,grocery_stores
19,13,1,0,1,1,7756.0,1993-07-01,health_personalcare_stores
19,14,1,0,1,1,13502.0,1993-07-01,gas_stations
19,15,1,0,1,1,10593.0,1993-07-01,clothing_stores
19,16,1,0,1,1,3810.0,1993-07-01,sporting_hobby_book_stores
19,17,1,0,1,1,22343.0,1993-07-01,general_merchandise
19,21,1,0,1,1,17927.0,1993-07-01,food_drink_service
20,6,1,0,1,1,40504.0,1993-08-01,car_dealers
20,8,1,0,1,1,4645.0,1993-08-01,furniture
20,9,1,0,1,1,4667.0,1993-08-01,electronics_appliances
20,10,1,0,1,1,11875.0,1993-08-01,building_garden_supplies
20,11,1,0,1,1,31126.0,1993-08-01,food_bev_stores
20,12,1,0,1,1,28357.0,1993-08-01,grocery_stores
20,13,1,0,1,1,7678.0,1993-08-01,health_personalcare_stores
20,14,1,0,1,1,13372.0,1993-08-01,gas_stations
20,15,1,0,1,1,10406.0,1993-08-01,clothing_stores
20,16,1,0,1,1,3804.0,1993-08-01,sporting_hobby_book_stores
20,17,1,0,1,1,22315.0,1993-08-01,general_merchandise
20,21,1,0,1,1,18201.0,1993-08-01,food_drink_service
21,6,1,0,1,1,40203.0,1993-09-01,car_dealers
21,8,1,0,1,1,4640.0,1993-09-01,furniture
21,9,1,0,1,1,4729.0,1993-09-01,electronics_appliances
21,10,1,0,1,1,11786.0,1993-09-01,building_garden_supplies
21,11,1,0,1,1,31201.0,1993-09-01,food_bev_stores
21,12,1,0,1,1,28478.0,1993-09-01,grocery_stores
21,13,1,0,1,1,7772.0,1993-09-01,health_personalcare_stores
21,14,1,0,1,1,13416.0,1993-09-01,gas_stations
21,15,1,0,1,1,10549.0,1993-09-01,clothing_stores
21,16,1,0,1,1,3825.0,1993-09-01,sporting_hobby_book_stores
21,17,1,0,1,1,22429.0,1993-09-01,general_merchandise
21,21,1,0,1,1,18515.0,1993-09-01,food_drink_service
22,6,1,0,1,1,40857.0,1993-10-01,car_dealers
22,8,1,0,1,1,4663.0,1993-10-01,furniture
22,9,1,0,1,1,4710.0,1993-10-01,electronics_appliances
22,10,1,0,1,1,11908.0,1993-10-01,building_garden_supplies
22,11,1,0,1,1,31346.0,1993-10-01,food_bev_stores
22,12,1,0,1,1,28618.0,1993-10-01,grocery_stores
22,13,1,0,1,1,7758.0,1993-10-01,health_personalcare_stores
22,14,1,0,1,1,13755.0,1993-10-01,gas_stations
22,15,1,0,1,1,10449.0,1993-10-01,clothing_stores
22,16,1,0,1,1,3817.0,1993-10-01,sporting_hobby_book_stores
22,17,1,0,1,1,22647.0,1993-10-01,general_merchandise
22,21,1,0,1,1,18199.0,1993-10-01,food_drink_service
23,6,1,0,1,1,42077.0,1993-11-01,car_dealers
23,8,1,0,1,1,4693.0,1993-11-01,furniture
23,9,1,0,1,1,4741.0,1993-11-01,electronics_appliances
23,10,1,0,1,1,12297.0,1993-11-01,building_garden_supplies
23,11,1,0,1,1,31363.0,1993-11-01,food_bev_stores
23,12,1,0,1,1,28625.0,1993-11-01,grocery_stores
23,13,1,0,1,1,7784.0,1993-11-01,health_personalcare_stores
23,14,1,0,1,1,13754.0,1993-11-01,gas_stations
23,15,1,0,1,1,10475.0,1993-11-01,clothing_stores
23,16,1,0,1,1,3930.0,1993-11-01,sporting_hobby_book_stores
23,17,1,0,1,1,22760.0,1993-11-01,general_merchandise
23,21,1,0,1,1,18153.0,1993-11-01,food_drink_service
24,6,1,0,1,1,42796.0,1993-12-01,car_dealers
24,8,1,0,1,1,4693.0,1993-12-01,furniture
24,9,1,0,1,1,4794.0,1993-12-01,electronics_appliances
24,10,1,0,1,1,12583.0,1993-12-01,building_garden_supplies
24,11,1,0,1,1,31499.0,1993-12-01,food_bev_stores
24,12,1,0,1,1,28773.0,1993-12-01,grocery_stores
24,13,1,0,1,1,7989.0,1993-12-01,health_personalcare_stores
24,14,1,0,1,1,13627.0,1993-12-01,gas_stations
24,15,1,0,1,1,10442.0,1993-12-01,clothing_stores
24,16,1,0,1,1,4018.0,1993-12-01,sporting_hobby_book_stores
24,17,1,0,1,1,22905.0,1993-12-01,general_merchandise
24,21,1,0,1,1,18238.0,1993-12-01,food_drink_service
25,6,1,0,1,1,42660.0,1994-01-01,car_dealers
25,8,1,0,1,1,4571.0,1994-01-01,furniture
25,9,1,0,1,1,4837.0,1994-01-01,electronics_appliances
25,10,1,0,1,1,12316.0,1994-01-01,building_garden_supplies
25,11,1,0,1,1,31468.0,1994-01-01,food_bev_stores
25,12,1,0,1,1,28722.0,1994-01-01,grocery_stores
25,13,1,0,1,1,7865.0,1994-01-01,health_personalcare_stores
25,14,1,0,1,1,13656.0,1994-01-01,gas_stations
25,15,1,0,1,1,10450.0,1994-01-01,clothing_stores
25,16,1,0,1,1,3981.0,1994-01-01,sporting_hobby_book_stores
25,17,1,0,1,1,22706.0,1994-01-01,general_merchandise
25,21,1,0,1,1,17624.0,1994-01-01,food_drink_service
26,6,1,0,1,1,43685.0,1994-02-01,car_dealers
26,8,1,0,1,1,4775.0,1994-02-01,furniture
26,9,1,0,1,1,4949.0,1994-02-01,electronics_appliances
26,10,1,0,1,1,12233.0,1994-02-01,building_garden_supplies
26,11,1,0,1,1,31688.0,1994-02-01,food_bev_stores
26,12,1,0,1,1,28923.0,1994-02-01,grocery_stores
26,13,1,0,1,1,7729.0,1994-02-01,health_personalcare_stores
26,14,1,0,1,1,13875.0,1994-02-01,gas_stations
26,15,1,0,1,1,10587.0,1994-02-01,clothing_stores
26,16,1,0,1,1,4095.0,1994-02-01,sporting_hobby_book_stores
26,17,1,0,1,1,23070.0,1994-02-01,general_merchandise
26,21,1,0,1,1,18425.0,1994-02-01,food_drink_service
27,6,1,0,1,1,44475.0,1994-03-01,car_dealers
27,8,1,0,1,1,4910.0,1994-03-01,furniture
27,9,1,0,1,1,5052.0,1994-03-01,electronics_appliances
27,10,1,0,1,1,12767.0,1994-03-01,building_garden_supplies
27,11,1,0,1,1,31700.0,1994-03-01,food_bev_stores
27,12,1,0,1,1,28914.0,1994-03-01,grocery_stores
27,13,1,0,1,1,7911.0,1994-03-01,health_personalcare_stores
27,14,1,0,1,1,13911.0,1994-03-01,gas_stations
27,15,1,0,1,1,10806.0,1994-03-01,clothing_stores
27,16,1,0,1,1,4131.0,1994-03-01,sporting_hobby_book_stores
27,17,1,0,1,1,23657.0,1994-03-01,general_merchandise
27,21,1,0,1,1,18813.0,1994-03-01,food_drink_service
28,6,1,0,1,1,45072.0,1994-04-01,car_dealers
28,8,1,0,1,1,4916.0,1994-04-01,furniture
28,9,1,0,1,1,5090.0,1994-04-01,electronics_appliances
28,10,1,0,1,1,13076.0,1994-04-01,building_garden_supplies
28,11,1,0,1,1,31899.0,1994-04-01,food_bev_stores
28,12,1,0,1,1,29111.0,1994-04-01,grocery_stores
28,13,1,0,1,1,7838.0,1994-04-01,health_personalcare_stores
28,14,1,0,1,1,13867.0,1994-04-01,gas_stations
28,15,1,0,1,1,10554.0,1994-04-01,clothing_stores
28,16,1,0,1,1,4035.0,1994-04-01,sporting_hobby_book_stores
28,17,1,0,1,1,23354.0,1994-04-01,general_merchandise
28,21,1,0,1,1,18533.0,1994-04-01,food_drink_service
29,6,1,0,1,1,44098.0,1994-05-01,car_dealers
29,8,1,0,1,1,4971.0,1994-05-01,furniture
29,9,1,0,1,1,5185.0,1994-05-01,electronics_appliances
29,10,1,0,1,1,13033.0,1994-05-01,building_garden_supplies
29,11,1,0,1,1,31858.0,1994-05-01,food_bev_stores
29,12,1,0,1,1,29025.0,1994-05-01,grocery_stores
29,13,1,0,1,1,7955.0,1994-05-01,health_personalcare_stores
29,14,1,0,1,1,13773.0,1994-05-01,gas_stations
29,15,1,0,1,1,10451.0,1994-05-01,clothing_stores
29,16,1,0,1,1,4119.0,1994-05-01,sporting_hobby_book_stores
29,17,1,0,1,1,23271.0,1994-05-01,general_merchandise
