per_idx,cat_idx,dt_idx,et_idx,geo_idx,is_adj,val
52,21,2,0,1,0,-2.1
53,21,1,0,1,0,21139
53,21,1,0,1,1,20094
53,21,2,0,1,1,0.8
53,21,2,0,1,0,6.6
54,21,1,0,1,0,20669
54,21,1,0,1,1,19932
54,21,2,0,1,1,-0.8
54,21,2,0,1,0,-2.2
55,21,1,0,1,0,20971
55,21,1,0,1,1,20145
55,21,2,0,1,1,1.1
55,21,2,0,1,0,1.5
56,21,1,0,1,0,21792
56,21,1,0,1,1,20140
56,21,2,0,1,1,0
56,21,2,0,1,0,3.9
57,21,1,0,1,0,19826
57,21,1,0,1,1,20397
57,21,2,0,1,1,1.3
57,21,2,0,1,0,-9
58,21,1,0,1,0,20736
58,21,1,0,1,1,20551
58,21,2,0,1,1,0.8
58,21,2,0,1,0,4.6
59,21,1,0,1,0,20332
59,21,1,0,1,1,20789
59,21,2,0,1,1,1.2
59,21,2,0,1,0,-1.9
60,21,1,0,1,0,20603
60,21,1,0,1,1,20707
60,21,2,0,1,1,-0.4
60,21,2,0,1,0,1.3
61,21,1,0,1,0,19316
61,21,1,0,1,1,21110
61,21,2,0,1,1,1.9
61,21,2,0,1,0,-6.2
62,21,1,0,1,0,19128
62,21,1,0,1,1,21136
62,21,2,0,1,1,0.1
62,21,2,0,1,0,-1
63,21,1,0,1,0,21383
63,21,1,0,1,1,21171
63,21,2,0,1,1,0.2
63,21,2,0,1,0,11.8
64,21,1,0,1,0,21110
64,21,1,0,1,1,21216
64,21,2,0,1,1,0.2
64,21,2,0,1,0,-1.3
65,21,1,0,1,0,22674
65,21,1,0,1,1,21230
65,21,2,0,1,1,0.1
65,21,2,0,1,0,7.4
66,21,1,0,1,0,21874
66,21,1,0,1,1,21382
66,21,2,0,1,1,0.7
66,21,2,0,1,0,-3.5
67,21,1,0,1,0,22665
67,21,1,0,1,1,21689
67,21,2,0,1,1,1.4
67,21,2,0,1,0,3.6
68,21,1,0,1,0,23300
68,21,1,0,1,1,21674
68,21,2,0,1,1,-0.1
68,21,2,0,1,0,2.8
69,21,1,0,1,0,21392
69,21,1,0,1,1,21986
69,21,2,0,1,1,1.4
69,21,2,0,1,0,-8.2
70,21,1,0,1,0,22106
70,21,1,0,1,1,21758
70,21,2,0,1,1,-1
70,21,2,0,1,0,3.3
71,21,1,0,1,0,20751
71,21,1,0,1,1,21504
71,21,2,0,1,1,-1.2
71,21,2,0,1,0,-6.1
