per_idx,cat_idx,dt_idx,et_idx,geo_idx,is_adj,val,cat_name
21,11,2,0,1,0,-1.9,food_bev_stores
21,12,2,0,1,0,-1.6,grocery_stores
21,21,2,0,1,0,-6.3,food_drink_service
22,11,1,0,1,0,31223,food_bev_stores
22,11,1,0,1,1,31346,food_bev_stores
22,12,1,0,1,0,28532,grocery_stores
22,12,1,0,1,1,28618,grocery_stores
22,21,1,0,1,0,18745,food_drink_service
22,21,1,0,1,1,18199,food_drink_service
22,11,2,0,1,1,0.5,food_bev_stores
22,12,2,0,1,1,0.5,grocery_stores
22,21,2,0,1,1,-1.7,food_drink_service
22,11,2,0,1,0,2,food_bev_stores
22,12,2,0,1,0,1.8,grocery_stores
22,21,2,0,1,0,3.5,food_drink_service
23,11,1,0,1,0,30803,food_bev_stores
23,11,1,0,1,1,31363,food_bev_stores
23,12,1,0,1,0,28081,grocery_stores
23,12,1,0,1,1,28625,grocery_stores
23,21,1,0,1,0,17463,food_drink_service
23,21,1,0,1,1,18153,food_drink_service
23,11,2,0,1,1,0.1,food_bev_stores
23,12,2,0,1,1,0,grocery_stores
23,21,2,0,1,1,-0.3,food_drink_service
23,11,2,0,1,0,-1.3,food_bev_stores
23,12,2,0,1,0,-1.6,grocery_stores
23,21,2,0,1,0,-6.8,food_drink_service
24,11,1,0,1,0,34941,food_bev_stores
24,11,1,0,1,1,31499,food_bev_stores
24,12,1,0,1,0,31132,grocery_stores
24,12,1,0,1,1,28773,grocery_stores
24,21,1,0,1,0,18366,food_drink_service
24,21,1,0,1,1,18238,food_drink_service
24,11,2,0,1,1,0.4,food_bev_stores
24,12,2,0,1,1,0.5,grocery_stores
24,21,2,0,1,1,0.5,food_drink_service
24,11,2,0,1,0,13.4,food_bev_stores
24,12,2,0,1,0,10.9,grocery_stores
24,21,2,0,1,0,5.2,food_drink_service
25,11,1,0,1,0,30251,food_bev_stores
25,11,1,0,1,1,31468,food_bev_stores
25,12,1,0,1,0,27889,grocery_stores
25,12,1,0,1,1,28722,grocery_stores
25,21,1,0,1,0,16073,food_drink_service
25,21,1,0,1,1,17624,food_drink_service
25,11,2,0,1,1,-0.1,food_bev_stores
25,12,2,0,1,1,-0.2,grocery_stores
25,21,2,0,1,1,-3.4,food_drink_service
25,11,2,0,1,0,-13.4,food_bev_stores
25,12,2,0,1,0,-10.4,grocery_stores
25,21,2,0,1,0,-12.5,food_drink_service
26,11,1,0,1,0,28514,food_bev_stores
26,11,1,0,1,1,31688,food_bev_stores
26,12,1,0,1,0,26175,grocery_stores
26,12,1,0,1,1,28923,grocery_stores
26,21,1,0,1,0,16509,food_drink_service
26,21,1,0,1,1,18425,food_drink_service
26,11,2,0,1,1,0.7,food_bev_stores
26,12,2,0,1,1,0.7,grocery_stores
26,21,2,0,1,1,4.5,food_drink_service
26,11,2,0,1,0,-5.7,food_bev_stores
26,12,2,0,1,0,-6.1,grocery_stores
26,21,2,0,1,0,2.7,food_drink_service
27,11,1,0,1,0,31920,food_bev_stores
27,11,1,0,1,1,31700,food_bev_stores
27,12,1,0,1,0,29261,grocery_stores
27,12,1,0,1,1,28914,grocery_stores
27,21,1,0,1,0,18757,food_drink_service
27,21,1,0,1,1,18813,food_drink_service
27,11,2,0,1,1,0,food_bev_stores
27,12,2,0,1,1,0,grocery_stores
27,21,2,0,1,1,2.1,food_drink_service
27,11,2,0,1,0,11.9,food_bev_stores
27,12,2,0,1,0,11.8,grocery_stores
27,21,2,0,1,0,13.6,food_drink_service
28,11,1,0,1,0,31208,food_bev_stores
28,11,1,0,1,1,31899,food_bev_stores
28,12,1,0,1,0,28529,grocery_stores
28,12,1,0,1,1,29111,grocery_stores
28,21,1,0,1,0,18774,food_drink_service
28,21,1,0,1,1,18533,food_drink_service
28,11,2,0,1,1,0.6,food_bev_stores
28,12,2,0,1,1,0.7,grocery_stores
28,21,2,0,1,1,-1.5,food_drink_service
28,11,2,0,1,0,-2.2,food_bev_stores
28,12,2,0,1,0,-2.5,grocery_stores
28,21,2,0,1,0,0.1,food_drink_service
29,11,1,0,1,0,32215,food_bev_stores
29,11,1,0,1,1,31858,food_bev_stores
29,12,1,0,1,0,29402,grocery_stores
29,12,1,0,1,1,29025,grocery_stores
29,21,1,0,1,0,19400,food_drink_service
29,21,1,0,1,1,18600,food_drink_service
29,11,2,0,1,1,-0.1,food_bev_stores
29,12,2,0,1,1,-0.3,grocery_stores
29,21,2,0,1,1,0.4,food_drink_service
29,11,2,0,1,0,3.2,food_bev_stores
29,12,2,0,1,0,3.1,grocery_stores
29,21,2,0,1,0,3.3,food_drink_service
30,11,1,0,1,0,32537,food_bev_stores
30,11,1,0,1,1,32123,food_bev_stores
30,12,1,0,1,0,29721,grocery_stores
30,12,1,0,1,1,29311,grocery_stores
30,21,1,0,1,0,19437,food_drink_service
30,21,1,0,1,1,18889,food_drink_service
30,11,2,0,1,1,0.8,food_bev_stores
30,12,2,0,1,1,1,grocery_stores
30,21,2,0,1,1,1.6,food_drink_service
30,11,2,0,1,0,1,food_bev_stores
30,12,2,0,1,0,1.1,grocery_stores
30,21,2,0,1,0,0.2,food_drink_service
31,11,1,0,1,0,33288,food_bev_stores
31,11,1,0,1,1,31964,food_bev_stores
31,12,1,0,1,0,30344,grocery_stores
31,12,1,0,1,1,29149,grocery_stores
31,21,1,0,1,0,20157,food_drink_service
31,21,1,0,1,1,18962,food_drink_service
31,11,2,0,1,1,-0.5,food_bev_stores
31,12,2,0,1,1,-0.6,grocery_stores
31,21,2,0,1,1,0.4,food_drink_service
31,11,2,0,1,0,2.3,food_bev_stores
31,12,2,0,1,0,2.1,grocery_stores
31,21,2,0,1,0,3.7,food_drink_service
32,11,1,0,1,0,32613,food_bev_stores
32,11,1,0,1,1,32222,food_bev_stores
32,12,1,0,1,0,29792,grocery_stores
32,12,1,0,1,1,29410,grocery_stores
32,21,1,0,1,0,19943,food_drink_service
32,21,1,0,1,1,18868,food_drink_service
32,11,2,0,1,1,0.8,food_bev_stores
32,12,2,0,1,1,0.9,grocery_stores
32,21,2,0,1,1,-0.5,food_drink_service
32,11,2,0,1,0,-2,food_bev_stores
32,12,2,0,1,0,-1.8,grocery_stores
32,21,2,0,1,0,-1.1,food_drink_service
33,11,1,0,1,0,31860,food_bev_stores
33,11,1,0,1,1,32401,food_bev_stores
33,12,1,0,1,0,29102,grocery_stores
