per_idx,cat_idx,dt_idx,et_idx,is_adj,val
51,12,1,0,1,30125
51,12,2,0,1,0.5
51,12,2,0,0,7.3
52,12,1,0,0,29344
52,12,1,0,1,30220
52,12,2,0,1,0.3
52,12,2,0,0,-3
53,12,1,0,0,31364
53,12,1,0,1,30245
53,12,2,0,1,0.1
53,12,2,0,0,6.9
54,12,1,0,0,30470
54,12,1,0,1,30288
54,12,2,0,1,0.1
54,12,2,0,0,-2.9
55,12,1,0,0,31377
55,12,1,0,1,30493
55,12,2,0,1,0.7
55,12,2,0,0,3
56,12,1,0,0,31747
56,12,1,0,1,30555
56,12,2,0,1,0.2
56,12,2,0,0,1.2
57,12,1,0,0,29495
57,12,1,0,1,30565
57,12,2,0,1,0
57,12,2,0,0,-7.1
58,12,1,0,0,30674
58,12,1,0,1,30766
58,12,2,0,1,0.7
58,12,2,0,0,4
59,12,1,0,0,31014
59,12,1,0,1,30768
59,12,2,0,1,0
59,12,2,0,0,1.1
60,12,1,0,0,32454
60,12,1,0,1,30879
60,12,2,0,1,0.4
60,12,2,0,0,4.6
61,12,1,0,0,30534
61,12,1,0,1,31030
61,12,2,0,1,0.5
61,12,2,0,0,-5.9
62,12,1,0,0,27985
62,12,1,0,1,30991
62,12,2,0,1,-0.1
62,12,2,0,0,-8.3
63,12,1,0,0,31513
63,12,1,0,1,31109
63,12,2,0,1,0.4
63,12,2,0,0,12.6
64,12,1,0,0,29853
64,12,1,0,1,31065
64,12,2,0,1,-0.1
64,12,2,0,0,-5.3
65,12,1,0,0,32412
65,12,1,0,1,30987
65,12,2,0,1,-0.3
65,12,2,0,0,8.6
66,12,1,0,0,30527
66,12,1,0,1,30804
66,12,2,0,1,-0.6
66,12,2,0,0,-5.8
67,12,1,0,0,32232
67,12,1,0,1,31022
67,12,2,0,1,0.7
67,12,2,0,0,5.6
68,12,1,0,0,32032
68,12,1,0,1,31160
68,12,2,0,1,0.4
68,12,2,0,0,-0.6
69,12,1,0,0,30142
69,12,1,0,1,31171
69,12,2,0,1,0
69,12,2,0,0,-5.9
70,12,1,0,0,31319
70,12,1,0,1,31225
70,12,2,0,1,0.2
70,12,2,0,0,3.9
71,12,1,0,0,31032
71,12,1,0,1,31125
71,12,2,0,1,-0.3
71,12,2,0,0,-0.9
72,12,1,0,0,32989
72,12,1,0,1,31063
72,12,2,0,1,-0.2
72,12,2,0,0,6.3
