val,yearmonth,per_name,cat_name
-0.2,1993-6,6/1/1993,general_merchandise
1.2,1993-6,6/1/1993,food_drink_service
3.6,1993-7,7/1/1993,car_dealers
0.7,1993-7,7/1/1993,furniture
1.6,1993-7,7/1/1993,electronics_appliances
1,1993-7,7/1/1993,building_garden_supplies
0.6,1993-7,7/1/1993,food_bev_stores
0.6,1993-7,7/1/1993,grocery_stores
1,1993-7,7/1/1993,health_personalcare_stores
0.3,1993-7,7/1/1993,gas_stations
1.7,1993-7,7/1/1993,clothing_stores
2.9,1993-7,7/1/1993,sporting_hobby_book_stores
1.8,1993-7,7/1/1993,general_merchandise
-0.6,1993-7,7/1/1993,food_drink_service
0.5,1993-8,8/1/1993,car_dealers
0.1,1993-8,8/1/1993,furniture
0.5,1993-8,8/1/1993,electronics_appliances
0.8,1993-8,8/1/1993,building_garden_supplies
-0.7,1993-8,8/1/1993,food_bev_stores
-0.7,1993-8,8/1/1993,grocery_stores
-1,1993-8,8/1/1993,health_personalcare_stores
-1,1993-8,8/1/1993,gas_stations
-1.8,1993-8,8/1/1993,clothing_stores
-0.2,1993-8,8/1/1993,sporting_hobby_book_stores
-0.1,1993-8,8/1/1993,general_merchandise
1.5,1993-8,8/1/1993,food_drink_service
-0.7,1993-9,9/1/1993,car_dealers
-0.1,1993-9,9/1/1993,furniture
1.3,1993-9,9/1/1993,electronics_appliances
-0.7,1993-9,9/1/1993,building_garden_supplies
0.2,1993-9,9/1/1993,food_bev_stores
0.4,1993-9,9/1/1993,grocery_stores
1.2,1993-9,9/1/1993,health_personalcare_stores
0.3,1993-9,9/1/1993,gas_stations
1.4,1993-9,9/1/1993,clothing_stores
0.6,1993-9,9/1/1993,sporting_hobby_book_stores
0.5,1993-9,9/1/1993,general_merchandise
1.7,1993-9,9/1/1993,food_drink_service
1.6,1993-10,10/1/1993,car_dealers
0.5,1993-10,10/1/1993,furniture
-0.4,1993-10,10/1/1993,electronics_appliances
1,1993-10,10/1/1993,building_garden_supplies
0.5,1993-10,10/1/1993,food_bev_stores
0.5,1993-10,10/1/1993,grocery_stores
-0.2,1993-10,10/1/1993,health_personalcare_stores
2.5,1993-10,10/1/1993,gas_stations
-0.9,1993-10,10/1/1993,clothing_stores
-0.2,1993-10,10/1/1993,sporting_hobby_book_stores
1,1993-10,10/1/1993,general_merchandise
-1.7,1993-10,10/1/1993,food_drink_service
3,1993-11,11/1/1993,car_dealers
0.6,1993-11,11/1/1993,furniture
0.7,1993-11,11/1/1993,electronics_appliances
3.3,1993-11,11/1/1993,building_garden_supplies
0.1,1993-11,11/1/1993,food_bev_stores
0,1993-11,11/1/1993,grocery_stores
0.3,1993-11,11/1/1993,health_personalcare_stores
0,1993-11,11/1/1993,gas_stations
0.2,1993-11,11/1/1993,clothing_stores
3,1993-11,11/1/1993,sporting_hobby_book_stores
0.5,1993-11,11/1/1993,general_merchandise
-0.3,1993-11,11/1/1993,food_drink_service
1.7,1993-12,12/1/1993,car_dealers
0,1993-12,12/1/1993,furniture
1.1,1993-12,12/1/1993,electronics_appliances
2.3,1993-12,12/1/1993,building_garden_supplies
0.4,1993-12,12/1/1993,food_bev_stores
0.5,1993-12,12/1/1993,grocery_stores
2.6,1993-12,12/1/1993,health_personalcare_stores
-0.9,1993-12,12/1/1993,gas_stations
-0.3,1993-12,12/1/1993,clothing_stores
2.2,1993-12,12/1/1993,sporting_hobby_book_stores
0.6,1993-12,12/1/1993,general_merchandise
0.5,1993-12,12/1/1993,food_drink_service
-0.3,1994-1,1/1/1994,car_dealers
-2.6,1994-1,1/1/1994,furniture
0.9,1994-1,1/1/1994,electronics_appliances
-2.1,1994-1,1/1/1994,building_garden_supplies
-0.1,1994-1,1/1/1994,food_bev_stores
-0.2,1994-1,1/1/1994,grocery_stores
-1.6,1994-1,1/1/1994,health_personalcare_stores
0.2,1994-1,1/1/1994,gas_stations
0.1,1994-1,1/1/1994,clothing_stores
-0.9,1994-1,1/1/1994,sporting_hobby_book_stores
-0.9,1994-1,1/1/1994,general_merchandise
-3.4,1994-1,1/1/1994,food_drink_service
2.4,1994-2,2/1/1994,car_dealers
4.5,1994-2,2/1/1994,furniture
2.3,1994-2,2/1/1994,electronics_appliances
-0.7,1994-2,2/1/1994,building_garden_supplies
0.7,1994-2,2/1/1994,food_bev_stores
0.7,1994-2,2/1/1994,grocery_stores
-1.7,1994-2,2/1/1994,health_personalcare_stores
1.6,1994-2,2/1/1994,gas_stations
1.3,1994-2,2/1/1994,clothing_stores
