val,yearmonth,per_name,cat_name
32597,1995-6,6/1/1995,food_bev_stores
29812,1995-6,6/1/1995,grocery_stores
8482,1995-6,6/1/1995,health_personalcare_stores
15333,1995-6,6/1/1995,gas_stations
10948,1995-6,6/1/1995,clothing_stores
4421,1995-6,6/1/1995,sporting_hobby_book_stores
25166,1995-6,6/1/1995,general_merchandise
19419,1995-6,6/1/1995,food_drink_service
48832,1995-7,7/1/1995,car_dealers
5318,1995-7,7/1/1995,furniture
5965,1995-7,7/1/1995,electronics_appliances
13645,1995-7,7/1/1995,building_garden_supplies
32466,1995-7,7/1/1995,food_bev_stores
29675,1995-7,7/1/1995,grocery_stores
8431,1995-7,7/1/1995,health_personalcare_stores
15249,1995-7,7/1/1995,gas_stations
10824,1995-7,7/1/1995,clothing_stores
4429,1995-7,7/1/1995,sporting_hobby_book_stores
25375,1995-7,7/1/1995,general_merchandise
19489,1995-7,7/1/1995,food_drink_service
49748,1995-8,8/1/1995,car_dealers
5304,1995-8,8/1/1995,furniture
6159,1995-8,8/1/1995,electronics_appliances
13683,1995-8,8/1/1995,building_garden_supplies
32547,1995-8,8/1/1995,food_bev_stores
29721,1995-8,8/1/1995,grocery_stores
8488,1995-8,8/1/1995,health_personalcare_stores
15227,1995-8,8/1/1995,gas_stations
10813,1995-8,8/1/1995,clothing_stores
4462,1995-8,8/1/1995,sporting_hobby_book_stores
25174,1995-8,8/1/1995,general_merchandise
19715,1995-8,8/1/1995,food_drink_service
49188,1995-9,9/1/1995,car_dealers
5407,1995-9,9/1/1995,furniture
6141,1995-9,9/1/1995,electronics_appliances
13837,1995-9,9/1/1995,building_garden_supplies
32625,1995-9,9/1/1995,food_bev_stores
29735,1995-9,9/1/1995,grocery_stores
8611,1995-9,9/1/1995,health_personalcare_stores
15194,1995-9,9/1/1995,gas_stations
11198,1995-9,9/1/1995,clothing_stores
4441,1995-9,9/1/1995,sporting_hobby_book_stores
25469,1995-9,9/1/1995,general_merchandise
19640,1995-9,9/1/1995,food_drink_service
49271,1995-10,10/1/1995,car_dealers
5429,1995-10,10/1/1995,furniture
6212,1995-10,10/1/1995,electronics_appliances
13932,1995-10,10/1/1995,building_garden_supplies
32578,1995-10,10/1/1995,food_bev_stores
29692,1995-10,10/1/1995,grocery_stores
8584,1995-10,10/1/1995,health_personalcare_stores
15007,1995-10,10/1/1995,gas_stations
10882,1995-10,10/1/1995,clothing_stores
4414,1995-10,10/1/1995,sporting_hobby_book_stores
25135,1995-10,10/1/1995,general_merchandise
19611,1995-10,10/1/1995,food_drink_service
49863,1995-11,11/1/1995,car_dealers
5516,1995-11,11/1/1995,furniture
6263,1995-11,11/1/1995,electronics_appliances
14092,1995-11,11/1/1995,building_garden_supplies
32744,1995-11,11/1/1995,food_bev_stores
29858,1995-11,11/1/1995,grocery_stores
8691,1995-11,11/1/1995,health_personalcare_stores
14981,1995-11,11/1/1995,gas_stations
11269,1995-11,11/1/1995,clothing_stores
4532,1995-11,11/1/1995,sporting_hobby_book_stores
25414,1995-11,11/1/1995,general_merchandise
19609,1995-11,11/1/1995,food_drink_service
50163,1995-12,12/1/1995,car_dealers
5445,1995-12,12/1/1995,furniture
6281,1995-12,12/1/1995,electronics_appliances
14683,1995-12,12/1/1995,building_garden_supplies
32903,1995-12,12/1/1995,food_bev_stores
29994,1995-12,12/1/1995,grocery_stores
8761,1995-12,12/1/1995,health_personalcare_stores
15246,1995-12,12/1/1995,gas_stations
11124,1995-12,12/1/1995,clothing_stores
4505,1995-12,12/1/1995,sporting_hobby_book_stores
25554,1995-12,12/1/1995,general_merchandise
19625,1995-12,12/1/1995,food_drink_service
50349,1996-1,1/1/1996,car_dealers
5302,1996-1,1/1/1996,furniture
6191,1996-1,1/1/1996,electronics_appliances
14023,1996-1,1/1/1996,building_garden_supplies
33085,1996-1,1/1/1996,food_bev_stores
30105,1996-1,1/1/1996,grocery_stores
8546,1996-1,1/1/1996,health_personalcare_stores
15479,1996-1,1/1/1996,gas_stations
11105,1996-1,1/1/1996,clothing_stores
4600,1996-1,1/1/1996,sporting_hobby_book_stores
25215,1996-1,1/1/1996,general_merchandise
19564,1996-1,1/1/1996,food_drink_service
52288,1996-2,2/1/1996,car_dealers
5346,1996-2,2/1/1996,furniture
6248,1996-2,2/1/1996,electronics_appliances
14036,1996-2,2/1/1996,building_garden_supplies
32928,1996-2,2/1/1996,food_bev_stores
29990,1996-2,2/1/1996,grocery_stores
8782,1996-2,2/1/1996,health_personalcare_stores
15457,1996-2,2/1/1996,gas_stations
11341,1996-2,2/1/1996,clothing_stores
4485,1996-2,2/1/1996,sporting_hobby_book_stores
25616,1996-2,2/1/1996,general_merchandise
19742,1996-2,2/1/1996,food_drink_service
52348,1996-3,3/1/1996,car_dealers
5566,1996-3,3/1/1996,furniture
6365,1996-3,3/1/1996,electronics_appliances
14153,1996-3,3/1/1996,building_garden_supplies
33076,1996-3,3/1/1996,food_bev_stores
30125,1996-3,3/1/1996,grocery_stores
8991,1996-3,3/1/1996,health_personalcare_stores
15951,1996-3,3/1/1996,gas_stations
11376,1996-3,3/1/1996,clothing_stores
4548,1996-3,3/1/1996,sporting_hobby_book_stores
25576,1996-3,3/1/1996,general_merchandise
19862,1996-3,3/1/1996,food_drink_service
51531,1996-4,4/1/1996,car_dealers
5595,1996-4,4/1/1996,furniture
6373,1996-4,4/1/1996,electronics_appliances
