per_idx,cat_idx,dt_idx,et_idx,geo_idx,is_adj,val
7,9,2,0,1,0,3.7
7,10,2,0,1,0,-4.6
7,11,2,0,1,0,5.3
7,12,2,0,1,0,5.1
7,13,2,0,1,0,-1.5
7,14,2,0,1,0,3.3
7,15,2,0,1,0,-0.9
7,16,2,0,1,0,-0.5
7,17,2,0,1,0,-1.3
7,21,2,0,1,0,2.9
8,6,1,0,1,0,35436
8,6,1,0,1,1,34585
8,8,1,0,1,0,4446
8,8,1,0,1,1,4372
8,9,1,0,1,0,3817
8,9,1,0,1,1,4048
8,10,1,0,1,0,11219
8,10,1,0,1,1,10915
8,11,1,0,1,0,31469
8,11,1,0,1,1,31041
8,12,1,0,1,0,28645
8,12,1,0,1,1,28222
8,13,1,0,1,0,7313
8,13,1,0,1,1,7508
8,14,1,0,1,0,13825
8,14,1,0,1,1,13092
8,15,1,0,1,0,10513
8,15,1,0,1,1,10141
8,16,1,0,1,0,3586
8,16,1,0,1,1,3512
8,17,1,0,1,0,20518
8,17,1,0,1,1,20593
8,21,1,0,1,0,17888
8,21,1,0,1,1,16733
8,6,2,0,1,1,-1.7
8,8,2,0,1,1,0.1
8,9,2,0,1,1,-0.8
8,10,2,0,1,1,1.2
8,11,2,0,1,1,0.3
8,12,2,0,1,1,0.1
8,13,2,0,1,1,3
8,14,2,0,1,1,1
8,15,2,0,1,1,1.8
8,16,2,0,1,1,-2.1
8,17,2,0,1,1,1.9
8,21,2,0,1,1,1.4
8,6,2,0,1,0,-6.3
8,8,2,0,1,0,0.9
8,9,2,0,1,0,-2.9
8,10,2,0,1,0,-3.8
8,11,2,0,1,0,-2.9
8,12,2,0,1,0,-2.8
8,13,2,0,1,0,0.5
8,14,2,0,1,0,-0.4
8,15,2,0,1,0,15.5
8,16,2,0,1,0,11.2
8,17,2,0,1,0,10.5
8,21,2,0,1,0,3.4
9,6,1,0,1,0,35883
9,6,1,0,1,1,35890
9,8,1,0,1,0,4328
9,8,1,0,1,1,4345
9,9,1,0,1,0,3795
9,9,1,0,1,1,4098
9,10,1,0,1,0,11309
9,10,1,0,1,1,10980
9,11,1,0,1,0,30162
9,11,1,0,1,1,30942
9,12,1,0,1,0,27475
9,12,1,0,1,1,28122
9,13,1,0,1,0,7071
9,13,1,0,1,1,7420
9,14,1,0,1,0,13140
9,14,1,0,1,1,13246
9,15,1,0,1,0,9573
9,15,1,0,1,1,10154
9,16,1,0,1,0,3409
9,16,1,0,1,1,3566
9,17,1,0,1,0,18700
9,17,1,0,1,1,20684
9,21,1,0,1,0,16459
9,21,1,0,1,1,16812
9,6,2,0,1,1,3.8
9,8,2,0,1,1,-0.6
9,9,2,0,1,1,1.2
9,10,2,0,1,1,0.6
9,11,2,0,1,1,-0.3
9,12,2,0,1,1,-0.4
9,13,2,0,1,1,-1.2
9,14,2,0,1,1,1.2
9,15,2,0,1,1,0.1
9,16,2,0,1,1,1.5
9,17,2,0,1,1,0.4
9,21,2,0,1,1,0.5
9,6,2,0,1,0,1.3
9,8,2,0,1,0,-2.7
9,9,2,0,1,0,-0.6
9,10,2,0,1,0,0.8
9,11,2,0,1,0,-4.2
9,12,2,0,1,0,-4.1
9,13,2,0,1,0,-3.3
9,14,2,0,1,0,-5
9,15,2,0,1,0,-8.9
9,16,2,0,1,0,-4.9
9,17,2,0,1,0,-8.9
9,21,2,0,1,0,-8
10,6,1,0,1,0,36738
10,6,1,0,1,1,35972
10,8,1,0,1,0,4497
10,8,1,0,1,1,4299
10,9,1,0,1,0,4014
10,9,1,0,1,1,4186
10,10,1,0,1,0,11605
10,10,1,0,1,1,10971
10,11,1,0,1,0,31407
10,11,1,0,1,1,31148
10,12,1,0,1,0,28583
10,12,1,0,1,1,28328
10,13,1,0,1,0,7467
10,13,1,0,1,1,7535
10,14,1,0,1,0,13663
10,14,1,0,1,1,13304
10,15,1,0,1,0,10254
10,15,1,0,1,1,10174
10,16,1,0,1,0,3329
10,16,1,0,1,1,3607
10,17,1,0,1,0,20970
10,17,1,0,1,1,20851
10,21,1,0,1,0,17668
10,21,1,0,1,1,17104
10,6,2,0,1,1,0.2
10,8,2,0,1,1,-1.1
10,9,2,0,1,1,2.1
10,10,2,0,1,1,-0.1
10,11,2,0,1,1,0.7
10,12,2,0,1,1,0.7
